Entry	Status	Gene names	Organism
P49326	reviewed	FMO5	Homo sapiens (Human)
Q9UBS5	reviewed	GABBR1 GPRC3A	Homo sapiens (Human)
Q11128	reviewed	FUT5	Homo sapiens (Human)
Q96F15	reviewed	GIMAP5 IAN4L1 IAN5 IMAP3	Homo sapiens (Human)
Q6ZVE7	reviewed	GOLT1A GOT1B	Homo sapiens (Human)
Q7Z601	reviewed	GPR142 PGR2	Homo sapiens (Human)
Q99679	reviewed	GPR21	Homo sapiens (Human)
Q6UWM5	reviewed	GLIPR1L1 UNQ2972/PRO7434	Homo sapiens (Human)
Q14831	reviewed	GRM7 GPRC1G MGLUR7	Homo sapiens (Human)
P40197	reviewed	GP5	Homo sapiens (Human)
P32249	reviewed	GPR183 EBI2	Homo sapiens (Human)
I3L273	reviewed	GFY	Homo sapiens (Human)
P48167	reviewed	GLRB	Homo sapiens (Human)
O95528	reviewed	SLC2A10 GLUT10	Homo sapiens (Human)
P49019	reviewed	HCAR3 GPR109B HCA3 HM74B NIACR2	Homo sapiens (Human)
Q14CZ8	reviewed	HEPACAM	Homo sapiens (Human)
Q96D96	reviewed	HVCN1 VSOP UNQ578/PRO1140	Homo sapiens (Human)
Q9Y6W8	reviewed	ICOS AILIM	Homo sapiens (Human)
P16871	reviewed	IL7R	Homo sapiens (Human)
P26012	reviewed	ITGB8	Homo sapiens (Human)
P05556	reviewed	ITGB1 FNRB MDF2 MSK12	Homo sapiens (Human)
P06213	reviewed	INSR	Homo sapiens (Human)
Q8N201	reviewed	INTS1 KIAA1440 UNQ1821/PRO3434	Homo sapiens (Human)
O14498	reviewed	ISLR UNQ189/PRO215	Homo sapiens (Human)
Q9NZN1	reviewed	IL1RAPL1 OPHN4	Homo sapiens (Human)
Q8WVH0	reviewed	CPLX3 Nbla11589	Homo sapiens (Human)
Q9UMD9	reviewed	COL17A1 BP180 BPAG2	Homo sapiens (Human)
P01909	reviewed	HLA-DQA1	Homo sapiens (Human)
Q9UNE0	reviewed	EDAR DL	Homo sapiens (Human)
P29320	reviewed	EPHA3 ETK ETK1 HEK TYRO4	Homo sapiens (Human)
Q9NQ60	reviewed	EQTN AFAF C9orf11	Homo sapiens (Human)
O14638	reviewed	ENPP3 PDNP3	Homo sapiens (Human)
Q6UWR7	reviewed	ENPP6 UNQ1889/PRO4334	Homo sapiens (Human)
P98073	reviewed	TMPRSS15 ENTK PRSS7	Homo sapiens (Human)
P52803	reviewed	EFNA5 EPLG7 LERK7	Homo sapiens (Human)
Q14289	reviewed	PTK2B FAK2 PYK2 RAFTK	Homo sapiens (Human)
Q96GL9	reviewed	FAM163A C1orf76 NDSP	Homo sapiens (Human)
Q17R55	reviewed	FAM187B TMEM162	Homo sapiens (Human)
Q9Y5Y0	reviewed	FLVCR1 FLVCR	Homo sapiens (Human)
Q04609	reviewed	FOLH1 FOLH NAALAD1 PSM PSMA GIG27	Homo sapiens (Human)
Q9HCQ5	reviewed	GALNT9	Homo sapiens (Human)
O43603	reviewed	GALR2 GALNR2	Homo sapiens (Human)
Q96CU9	reviewed	FOXRED1 FP634	Homo sapiens (Human)
P25089	reviewed	FPR3 FPRH1 FPRL2	Homo sapiens (Human)
Q8IVP5	reviewed	FUNDC1	Homo sapiens (Human)
O43681	reviewed	GET3 ARSA ASNA1 TRC40	Homo sapiens (Human)
Q9NU53	reviewed	GINM1 C6orf72 UNQ710/PRO1361	Homo sapiens (Human)
O00270	reviewed	GPR31	Homo sapiens (Human)
O60565	reviewed	GREM1 CKTSF1B1 DAND2 DRM PIG2	Homo sapiens (Human)
Q6P9A2	reviewed	GALNT18 GALNTL4	Homo sapiens (Human)
P11169	reviewed	SLC2A3 GLUT3	Homo sapiens (Human)
Q969P0	reviewed	IGSF8 CD81P3 EWI2 KCT4	Homo sapiens (Human)
O75144	reviewed	ICOSLG B7H2 B7RP1 ICOSL KIAA0653	Homo sapiens (Human)
Q9NZH8	reviewed	IL36G IL1E IL1F9 IL1H1 IL1RP2 UNQ2456/PRO5737	Homo sapiens (Human)
P32942	reviewed	ICAM3	Homo sapiens (Human)
P13598	reviewed	ICAM2	Homo sapiens (Human)
P05107	reviewed	ITGB2 CD18 MFI7	Homo sapiens (Human)
P05154	reviewed	SERPINA5 PCI PLANH3 PROCI	Homo sapiens (Human)
Q8N743	reviewed	KIR3DL3 CD158Z KIR3DL7 KIRC1	Homo sapiens (Human)
Q14953	reviewed	KIR2DS5 CD158G NKAT9	Homo sapiens (Human)
P43405	reviewed	SYK	Homo sapiens (Human)
Q86Z14	reviewed	KLB	Homo sapiens (Human)
Q9Y257	reviewed	KCNK6 TOSS TWIK2	Homo sapiens (Human)
Q8TAF8	reviewed	LHFPL5 TMHS	Homo sapiens (Human)
P08684	reviewed	CYP3A4 CYP3A3	Homo sapiens (Human)
Q99062	reviewed	CSF3R GCSFR	Homo sapiens (Human)
Q9H7T0	reviewed	CATSPERB C14orf161	Homo sapiens (Human)
P17302	reviewed	GJA1 GJAL	Homo sapiens (Human)
Q9P2B4	reviewed	CTTNBP2NL KIAA1433	Homo sapiens (Human)
Q969M2	reviewed	GJA10 CX62	Homo sapiens (Human)
Q6UX04	reviewed	CWC27 SDCCAG10 UNQ438/PRO871	Homo sapiens (Human)
Q53GD3	reviewed	SLC44A4 C6orf29 CTL4 NG22 TPPT1 UNQ441/PRO874	Homo sapiens (Human)
Q5H9S7	reviewed	DCAF17 C2orf37	Homo sapiens (Human)
O43246	reviewed	SLC7A4	Homo sapiens (Human)
P52429	reviewed	DGKE DAGK5	Homo sapiens (Human)
O75911	reviewed	DHRS3 RDH17 SDR16C1 UNQ2424/PRO4983	Homo sapiens (Human)
Q9H6D8	reviewed	FNDC4 FRCP1 UNQ6389/PRO21134	Homo sapiens (Human)
O60883	reviewed	GPR37L1 ETBRLP2	Homo sapiens (Human)
Q9H1C3	reviewed	GLT8D2 GALA4A UNQ1901/PRO4347	Homo sapiens (Human)
P18507	reviewed	GABRG2	Homo sapiens (Human)
Q9BXC1	reviewed	GPR174 FKSG79 GPCR17	Homo sapiens (Human)
Q9Y2T5	reviewed	GPR52	Homo sapiens (Human)
P18505	reviewed	GABRB1	Homo sapiens (Human)
Q96P69	reviewed	GPR78 UNQ5925/PRO19818	Homo sapiens (Human)
P41594	reviewed	GRM5 GPRC1E MGLUR5	Homo sapiens (Human)
O75388	reviewed	GPR32	Homo sapiens (Human)
Q7Z602	reviewed	GPR141 PGR13	Homo sapiens (Human)
O43424	reviewed	GRID2 GLURD2	Homo sapiens (Human)
Q9NZH0	reviewed	GPRC5B RAIG2	Homo sapiens (Human)
P43220	reviewed	GLP1R	Homo sapiens (Human)
Q6UXU4	reviewed	GSG1L UNQ5831/PRO19651	Homo sapiens (Human)
P11166	reviewed	SLC2A1 GLUT1	Homo sapiens (Human)
A8MV81	reviewed	HIGD1C UBIE UBIE2	Homo sapiens (Human)
Q7LGA3	reviewed	HS2ST1 HS2ST KIAA0448	Homo sapiens (Human)
P13164	reviewed	IFITM1 CD225 IFI17	Homo sapiens (Human)
Q9NRM6	reviewed	IL17RB CRL4 EVI27 IL17BR UNQ2501/PRO19612	Homo sapiens (Human)
Q6GPH6	reviewed	ITPRIPL1 KIAA1754L	Homo sapiens (Human)
Q9Y287	reviewed	ITM2B BRI BRI2	Homo sapiens (Human)
Q6UXK2	reviewed	ISLR2 KIAA1465 LINX UNQ1885/PRO4329	Homo sapiens (Human)
Q8IYS2	reviewed	KIAA2013	Homo sapiens (Human)
P08910	reviewed	ABHD2 LABH2	Homo sapiens (Human)
P30542	reviewed	ADORA1	Homo sapiens (Human)
Q9BQI0	reviewed	AIF1L C9orf58 IBA2 UNQ672/PRO1306	Homo sapiens (Human)
Q99996	reviewed	AKAP9 AKAP350 AKAP450 KIAA0803	Homo sapiens (Human)
Q6UWZ7	reviewed	ABRAXAS1 ABRA1 CCDC98 FAM175A UNQ496/PRO1013	Homo sapiens (Human)
Q9H1Z8	reviewed	ECRG4 C2orf40 UNQ761/PRO1508	Homo sapiens (Human)
O95674	reviewed	CDS2	Homo sapiens (Human)
Q9NNX6	reviewed	CD209 CLEC4L	Homo sapiens (Human)
Q9ULG6	reviewed	CCPG1 CCP8 CPR8 KIAA1254	Homo sapiens (Human)
A8K4G0	reviewed	CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029	Homo sapiens (Human)
Q6UXN8	reviewed	CLEC9A UNQ9341/PRO34046	Homo sapiens (Human)
Q9UHC6	reviewed	CNTNAP2 CASPR2 KIAA0868	Homo sapiens (Human)
P51788	reviewed	CLCN2	Homo sapiens (Human)
A0PK11	reviewed	CLRN2	Homo sapiens (Human)
Q6UXH1	reviewed	CRELD2 UNQ185/PRO211	Homo sapiens (Human)
O43889	reviewed	CREB3 LZIP	Homo sapiens (Human)
A0A1B0GTU2	reviewed	CTXND1	Homo sapiens (Human)
P61073	reviewed	CXCR4	Homo sapiens (Human)
Q96SL1	reviewed	SLC49A4 DIRC2	Homo sapiens (Human)
P37059	reviewed	HSD17B2 EDH17B2 SDR9C2	Homo sapiens (Human)
Q9NPR9	reviewed	GPR108 LUSTR2	Homo sapiens (Human)
P0CG08	reviewed	GPR89B GPHRB GPR89C HSPC201	Homo sapiens (Human)
O75487	reviewed	GPC4 UNQ474/PRO937	Homo sapiens (Human)
Q14789	reviewed	GOLGB1	Homo sapiens (Human)
Q8IZP7	reviewed	HS6ST3	Homo sapiens (Human)
Q6MZM0	reviewed	HEPHL1	Homo sapiens (Human)
Q93033	reviewed	CD101 EWI101 IGSF2 V7	Homo sapiens (Human)
Q9HBE5	reviewed	IL21R NILR UNQ3121/PRO10273	Homo sapiens (Human)
Q8NFR9	reviewed	IL17RE UNQ3056/PRO9877	Homo sapiens (Human)
Q5T2E6	reviewed	ARMH3 C10orf76	Homo sapiens (Human)
Q9UHC3	reviewed	ASIC3 ACCN3 SLNAC1 TNAC1	Homo sapiens (Human)
Q6ZS62	reviewed	COLCA1 C11orf92	Homo sapiens (Human)
Q6NT55	reviewed	CYP4F22	Homo sapiens (Human)
Q9NSK7	reviewed	C19orf12	Homo sapiens (Human)
O95196	reviewed	CSPG5 CALEB NGC	Homo sapiens (Human)
Q6PEY0	reviewed	GJB7 CX25	Homo sapiens (Human)
Q6ZRH7	reviewed	CATSPERG C19orf15	Homo sapiens (Human)
Q8NCS7	reviewed	SLC44A5 CTL5	Homo sapiens (Human)
O60716	reviewed	CTNND1 KIAA0384	Homo sapiens (Human)
Q6ZUT9	reviewed	DENND5B	Homo sapiens (Human)
Q9Y2G8	reviewed	DNAJC16 KIAA0962	Homo sapiens (Human)
Q9Y5T4	reviewed	DNAJC15 DNAJD1 GIG22 HSD18	Homo sapiens (Human)
Q14126	reviewed	DSG2 CDHF5	Homo sapiens (Human)
Q9UP38	reviewed	FZD1	Homo sapiens (Human)
P21462	reviewed	FPR1	Homo sapiens (Human)
Q86XP6	reviewed	GKN2 BLOT GDDR TFIZ1 UNQ465/PRO813	Homo sapiens (Human)
Q8N1C3	reviewed	GABRG1	Homo sapiens (Human)
P50151	reviewed	GNG10 GNGT10	Homo sapiens (Human)
Q5UAW9	reviewed	GPR157	Homo sapiens (Human)
Q9NS66	reviewed	GPR173 SREB3	Homo sapiens (Human)
O43194	reviewed	GPR39	Homo sapiens (Human)
Q9HCL2	reviewed	GPAM GPAT1 KIAA1560	Homo sapiens (Human)
Q6NUI2	reviewed	GPAT2	Homo sapiens (Human)
B0YJ81	reviewed	HACD1 PTPLA	Homo sapiens (Human)
Q9P035	reviewed	HACD3 BIND1 PTPLAD1	Homo sapiens (Human)
Q9UGQ3	reviewed	SLC2A6 GLUT6	Homo sapiens (Human)
P04439	reviewed	HLA-A HLAA	Homo sapiens (Human)
Q86UP2	reviewed	KTN1 CG1 KIAA0004	Homo sapiens (Human)
P52849	reviewed	NDST2 HSST2	Homo sapiens (Human)
Q8N0W4	reviewed	NLGN4X KIAA1260 NLGN4 UNQ365/PRO701	Homo sapiens (Human)
O94856	reviewed	NFASC KIAA0756	Homo sapiens (Human)
Q8IZ57	reviewed	NRSN1 VMP	Homo sapiens (Human)
Q9Y328	reviewed	NSG2 CALY3	Homo sapiens (Human)
P03915	reviewed	MT-ND5 MTND5 NADH5 ND5	Homo sapiens (Human)
P0DN81	reviewed	OR13C7 OR13C7P	Homo sapiens (Human)
Q9UGF6	reviewed	OR5V1	Homo sapiens (Human)
Q8NGE8	reviewed	OR4D9	Homo sapiens (Human)
Q8NGX5	reviewed	OR10K1	Homo sapiens (Human)
Q8NH05	reviewed	OR4Q3 C14orf13 OR4Q4	Homo sapiens (Human)
Q8NGK2	reviewed	OR52B4	Homo sapiens (Human)
Q8NGS6	reviewed	OR13C3	Homo sapiens (Human)
Q8NGR4	reviewed	OR5C1 OR5C2P	Homo sapiens (Human)
A6NF89	reviewed	OR6C6	Homo sapiens (Human)
Q8NG75	reviewed	OR5T1 OR5T1P	Homo sapiens (Human)
Q8NG84	reviewed	OR2AK2 OR2AK1P	Homo sapiens (Human)
Q68BL7	reviewed	OLFML2A UNQ9394/PRO34319	Homo sapiens (Human)
Q93086	reviewed	P2RX5 P2X5	Homo sapiens (Human)
Q8NH10	reviewed	OR8U1	Homo sapiens (Human)
P0DN77	reviewed	OPN1MW2	Homo sapiens (Human)
Q8NGR3	reviewed	OR1K1	Homo sapiens (Human)
Q08174	reviewed	PCDH1	Homo sapiens (Human)
O60330	reviewed	PCDHGA12 CDH21 FIB3 KIAA0588 UNQ371/PRO707	Homo sapiens (Human)
Q8TDX9	reviewed	PKD1L1 UNQ5785/PRO19563	Homo sapiens (Human)
Q96S96	reviewed	PEBP4 CORK1 UNQ1933/PRO4408	Homo sapiens (Human)
Q9HBU9	reviewed	POPDC2 POP2	Homo sapiens (Human)
Q9NRY6	reviewed	PLSCR3	Homo sapiens (Human)
A0A0B4J2F0	reviewed	PIGBOS1	Homo sapiens (Human)
Q9Y4D7	reviewed	PLXND1 KIAA0620	Homo sapiens (Human)
Q8N2A8	reviewed	PLD6	Homo sapiens (Human)
O60733	reviewed	PLA2G6 PLPLA9	Homo sapiens (Human)
Q8TDU9	reviewed	RXFP4 GPCR142 GPR100 RLN3R2	Homo sapiens (Human)
Q96GF1	reviewed	RNF185	Homo sapiens (Human)
Q9ULF5	reviewed	SLC39A10 KIAA1265 ZIP10	Homo sapiens (Human)
Q14524	reviewed	SCN5A	Homo sapiens (Human)
Q9H5Y7	reviewed	SLITRK6	Homo sapiens (Human)
Q9UHQ9	reviewed	CYB5R1 NQO3A2 UNQ3049/PRO9865	Homo sapiens (Human)
Q8NGC2	reviewed	OR4E2	Homo sapiens (Human)
Q8IXE1	reviewed	OR4N5	Homo sapiens (Human)
Q8NGD2	reviewed	OR4K2	Homo sapiens (Human)
Q8NGY2	reviewed	OR6K2	Homo sapiens (Human)
A6NMS3	reviewed	OR5K4	Homo sapiens (Human)
Q9UKL2	reviewed	OR52A1	Homo sapiens (Human)
Q9H339	reviewed	OR51B5	Homo sapiens (Human)
Q8NGZ2	reviewed	OR14K1 OR5AY1	Homo sapiens (Human)
Q8NGP9	reviewed	OR5AR1	Homo sapiens (Human)
Q8NGG0	reviewed	OR8J3	Homo sapiens (Human)
Q8NGQ1	reviewed	OR9G4	Homo sapiens (Human)
P59922	reviewed	OR2B8P OR2B8	Homo sapiens (Human)
Q6UXB8	reviewed	PI16 CRISP9 PSPBP PSEC0164 UNQ289/PRO328	Homo sapiens (Human)
Q96RV3	reviewed	PCNX1 KIAA0805 KIAA0995 PCNX PCNXL1	Homo sapiens (Human)
P56589	reviewed	PEX3	Homo sapiens (Human)
Q92824	reviewed	PCSK5 PC5 PC6	Homo sapiens (Human)
Q9BRB3	reviewed	PIGQ GPI1	Homo sapiens (Human)
Q96FM1	reviewed	PGAP3 CAB2 PERLD1 UNQ546/PRO1100	Homo sapiens (Human)
Q9NZM6	reviewed	PKD2L2	Homo sapiens (Human)
Q9P0L9	reviewed	PKD2L1 PKD2L PKDL TRPP3	Homo sapiens (Human)
P50876	reviewed	RNF144A KIAA0161 RNF144 UBCE7IP4	Homo sapiens (Human)
Q8N8N0	reviewed	RNF152	Homo sapiens (Human)
Q9H6Y7	reviewed	RNF167 LP2254	Homo sapiens (Human)
Q9BXP2	reviewed	SLC12A9 CCC6 CIP1	Homo sapiens (Human)
Q8N697	reviewed	SLC15A4 PHT1 PTR4 FP12591	Homo sapiens (Human)
Q8TCC7	reviewed	SLC22A8 OAT3	Homo sapiens (Human)
Q86VL8	reviewed	SLC47A2 MATE2	Homo sapiens (Human)
Q495M3	reviewed	SLC36A2 PAT2 TRAMD1	Homo sapiens (Human)
Q3SY17	reviewed	SLC25A52 MCART2	Homo sapiens (Human)
Q9UGP8	reviewed	SEC63 SEC63L	Homo sapiens (Human)
Q8IY50	reviewed	SLC35F3	Homo sapiens (Human)
O95754	reviewed	SEMA4F SEMAM SEMAW	Homo sapiens (Human)
Q96PL1	reviewed	SCGB3A2 PNSP1 UGRP1 UNQ566/PRO1128	Homo sapiens (Human)
Q9UI33	reviewed	SCN11A SCN12A SNS2	Homo sapiens (Human)
Q92537	reviewed	SUSD6 DRAGO KIAA0247	Homo sapiens (Human)
P31391	reviewed	SSTR4	Homo sapiens (Human)
Q9BXA5	reviewed	SUCNR1 GPR91	Homo sapiens (Human)
Q9UBS9	reviewed	SUCO C1orf9 CH1 OPT SLP1	Homo sapiens (Human)
Q9Y5H9	reviewed	PCDHA2	Homo sapiens (Human)
Q9Y5E1	reviewed	PCDHB9 PCDH3H	Homo sapiens (Human)
Q9Y2B2	reviewed	PIGL	Homo sapiens (Human)
P43115	reviewed	PTGER3	Homo sapiens (Human)
Q16821	reviewed	PPP1R3A PP1G	Homo sapiens (Human)
Q9NRZ7	reviewed	AGPAT3 LPAAT3 UNQ759/PRO1490	Homo sapiens (Human)
P17980	reviewed	PSMC3 TBP1	Homo sapiens (Human)
O00232	reviewed	PSMD12	Homo sapiens (Human)
Q6UW15	reviewed	REG3G PAP1B UNQ429/PRO162	Homo sapiens (Human)
Q9HBH5	reviewed	RDH14 PAN2 SDR7C4 UNQ529/PRO1072	Homo sapiens (Human)
O60895	reviewed	RAMP2	Homo sapiens (Human)
Q96AA3	reviewed	RFT1	Homo sapiens (Human)
Q15907	reviewed	RAB11B YPT3	Homo sapiens (Human)
Q02161	reviewed	RHD	Homo sapiens (Human)
Q99500	reviewed	S1PR3 EDG3	Homo sapiens (Human)
Q9Y230	reviewed	RUVBL2 INO80J TIP48 TIP49B CGI-46	Homo sapiens (Human)
Q9Y2P5	reviewed	SLC27A5 ACSB ACSVL6 FACVL3 FATP5	Homo sapiens (Human)
P48029	reviewed	SLC6A8	Homo sapiens (Human)
Q14542	reviewed	SLC29A2 DER12 ENT2 HNP36	Homo sapiens (Human)
P78383	reviewed	SLC35B1 UGTREL1	Homo sapiens (Human)
Q9GZN6	reviewed	SLC6A16 NTT5	Homo sapiens (Human)
Q96CQ1	reviewed	SLC25A36	Homo sapiens (Human)
Q96N87	reviewed	SLC6A18 XTRP2	Homo sapiens (Human)
Q9P283	reviewed	SEMA5B KIAA1445 SEMAG UNQ5867/PRO34001	Homo sapiens (Human)
Q6NUK1	reviewed	SLC25A24 APC1 MCSC1 SCAMC1	Homo sapiens (Human)
Q8N5G0	reviewed	SMIM20 C4orf52 MITRAC7	Homo sapiens (Human)
A6NMB1	reviewed	SIGLEC16 SIGLECP16	Homo sapiens (Human)
Q9BQB4	reviewed	SOST UNQ2976/PRO7455/PRO7476	Homo sapiens (Human)
Q07889	reviewed	SOS1	Homo sapiens (Human)
Q9Y5M8	reviewed	SRPRB PSEC0230	Homo sapiens (Human)
Q5JXA9	reviewed	SIRPB2 PTPN1L PTPNS1L3	Homo sapiens (Human)
P0C623	reviewed	OR4Q2 OR4Q2P	Homo sapiens (Human)
Q8NGX9	reviewed	OR6P1	Homo sapiens (Human)
Q8NH89	reviewed	OR5AK3P OR5AK3	Homo sapiens (Human)
Q15620	reviewed	OR8B8	Homo sapiens (Human)
Q8NH42	reviewed	OR4K13	Homo sapiens (Human)
Q8NGB4	reviewed	OR4S1	Homo sapiens (Human)
Q8NGG6	reviewed	OR8B12	Homo sapiens (Human)
Q8NH67	reviewed	OR52I2	Homo sapiens (Human)
Q8NG94	reviewed	OR11H1	Homo sapiens (Human)
Q5VU65	reviewed	NUP210L	Homo sapiens (Human)
P41217	reviewed	CD200 MOX1 MOX2 My033	Homo sapiens (Human)
Q8NGU4	reviewed	OR2I1P OR2I2 OR2I3P OR2I4P	Homo sapiens (Human)
Q8TEZ7	reviewed	PAQR8 C6orf33 LMPB1 MPRB	Homo sapiens (Human)
Q92521	reviewed	PIGB	Homo sapiens (Human)
Q3MUY2	reviewed	PIGY	Homo sapiens (Human)
Q92535	reviewed	PIGC GPI2	Homo sapiens (Human)
Q9UKJ1	reviewed	PILRA	Homo sapiens (Human)
P07202	reviewed	TPO	Homo sapiens (Human)
P05187	reviewed	ALPP PLAP	Homo sapiens (Human)
Q9ULL4	reviewed	PLXNB3 KIAA1206 PLXN6	Homo sapiens (Human)
O00231	reviewed	PSMD11	Homo sapiens (Human)
Q15311	reviewed	RALBP1 RLIP1 RLIP76	Homo sapiens (Human)
Q9BQ08	reviewed	RETNLB CCRG FIZZ2 HXCP2 RETNL2 UNQ408/PRO770	Homo sapiens (Human)
Q9H310	reviewed	RHBG	Homo sapiens (Human)
Q9NX52	reviewed	RHBDL2	Homo sapiens (Human)
Q01974	reviewed	ROR2 NTRKR2	Homo sapiens (Human)
Q9P2E9	reviewed	RRBP1 KIAA1398	Homo sapiens (Human)
Q6YBV0	reviewed	SLC36A4 PAT4	Homo sapiens (Human)
Q9H9B4	reviewed	SFXN1	Homo sapiens (Human)
Q07699	reviewed	SCN1B	Homo sapiens (Human)
P0DL12	reviewed	SMIM17	Homo sapiens (Human)
A0A096LP01	reviewed	SMIM26	Homo sapiens (Human)
Q9H5K3	reviewed	POMK SGK196	Homo sapiens (Human)
Q12770	reviewed	SCAP KIAA0199 PSEC0227	Homo sapiens (Human)
Q9UNP4	reviewed	ST3GAL5 SIAT9 UNQ2510/PRO5998	Homo sapiens (Human)
Q969W0	reviewed	SPTSSA C14orf147 SSSPTA	Homo sapiens (Human)
Q96T83	reviewed	SLC9A7 NHE7	Homo sapiens (Human)
Q8NC67	reviewed	NETO2 BTCL2 UNQ1926/PRO4401	Homo sapiens (Human)
A6NFY4	reviewed	NEMP2 TMEM194B	Homo sapiens (Human)
O14931	reviewed	NCR3 1C7 LY117	Homo sapiens (Human)
A6ND48	reviewed	OR14I1 OR5BU1 OR5BU1P	Homo sapiens (Human)
A6NKK0	reviewed	OR5H1	Homo sapiens (Human)
Q96R54	reviewed	OR14A2 OR5AX1 OR5AX1P	Homo sapiens (Human)
A6NM03	reviewed	OR2AG2 OR2AG2P	Homo sapiens (Human)
Q8NFH5	reviewed	NUP35 MP44 NUP53	Homo sapiens (Human)
P0C646	reviewed	OR52Z1 OR52Z1P	Homo sapiens (Human)
Q8NG78	reviewed	OR8G5 OR8G5P OR8G6	Homo sapiens (Human)
Q8NGN7	reviewed	OR10D4P OR10D4	Homo sapiens (Human)
Q8NGS8	reviewed	OR13C5	Homo sapiens (Human)
Q9H341	reviewed	OR51M1	Homo sapiens (Human)
Q8NH87	reviewed	OR9G1 OR9G5	Homo sapiens (Human)
P04000	reviewed	OPN1LW RCP	Homo sapiens (Human)
Q8NGR9	reviewed	OR1N2	Homo sapiens (Human)
Q8NF37	reviewed	LPCAT1 AYTL2 PFAAP3	Homo sapiens (Human)
Q9P2E7	reviewed	PCDH10 KIAA1400	Homo sapiens (Human)
Q9Y5E8	reviewed	PCDHB15	Homo sapiens (Human)
Q9Y5F7	reviewed	PCDHGC4	Homo sapiens (Human)
Q9UN71	reviewed	PCDHGB4 CDH20 FIB2	Homo sapiens (Human)
A5PLL7	reviewed	PEDS1 KUA PDES TMEM189	Homo sapiens (Human)
Q9Y5H2	reviewed	PCDHGA11	Homo sapiens (Human)
Q8NAT1	reviewed	POMGNT2 AGO61 C3orf39 EOGTL GTDC2	Homo sapiens (Human)
Q6P1J6	reviewed	PLB1 PLB	Homo sapiens (Human)
O75915	reviewed	ARL6IP5 DERP11 JWA PRA2 PRAF3 HSPC127	Homo sapiens (Human)
O14684	reviewed	PTGES MGST1L1 MPGES1 PGES PIG12	Homo sapiens (Human)
P14927	reviewed	UQCRB UQBP	Homo sapiens (Human)
Q96HA9	reviewed	PEX11G PEX11C	Homo sapiens (Human)
M0QZC1	reviewed	RNF225	Homo sapiens (Human)
Q96LT4	reviewed	SAMD8	Homo sapiens (Human)
P30531	reviewed	SLC6A1 GABATR GABT1 GAT1	Homo sapiens (Human)
Q08357	reviewed	SLC20A2 GLVR2 PIT2	Homo sapiens (Human)
P0CK96	reviewed	SLC35E2B KIAA0447	Homo sapiens (Human)
Q86VW1	reviewed	SLC22A16 OCT6	Homo sapiens (Human)
Q9UN76	reviewed	SLC6A14	Homo sapiens (Human)
P31213	reviewed	SRD5A2	Homo sapiens (Human)
P40879	reviewed	SLC26A3 DRA	Homo sapiens (Human)
Q9H3T2	reviewed	SEMA6C KIAA1869 SEMAY	Homo sapiens (Human)
Q13591	reviewed	SEMA5A SEMAF	Homo sapiens (Human)
Q12884	reviewed	FAP	Homo sapiens (Human)
Q86VW0	reviewed	SESTD1 SOLO	Homo sapiens (Human)
P35499	reviewed	SCN4A	Homo sapiens (Human)
Q7Z4S9	reviewed	SH2D6	Homo sapiens (Human)
Q9Y343	reviewed	SNX24 SBBI31 UNQ654/PRO1284	Homo sapiens (Human)
A0A0U1RRN3	reviewed	SPTY2D1OS SPTY2D1-AS1	Homo sapiens (Human)
Q9UBI4	reviewed	STOML1 SLP1 UNC24 MSTP019	Homo sapiens (Human)
Q9UNK0	reviewed	STX8	Homo sapiens (Human)
Q9BX79	reviewed	STRA6 PP14296 UNQ3126/PRO10282/PRO19578	Homo sapiens (Human)
Q9Y5F3	reviewed	PCDHB1	Homo sapiens (Human)
O95084	reviewed	PRSS23 ZSIG13 UNQ270/PRO307	Homo sapiens (Human)
P23942	reviewed	PRPH2 PRPH RDS TSPAN22	Homo sapiens (Human)
Q06124	reviewed	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)
Q92530	reviewed	PSMF1	Homo sapiens (Human)
Q8IYL9	reviewed	GPR65 TDAG8	Homo sapiens (Human)
Q6UX71	reviewed	PLXDC2 TEM7R UNQ2514/PRO6003	Homo sapiens (Human)
Q9H902	reviewed	REEP1 C2orf23 SPG31	Homo sapiens (Human)
Q8NFJ5	reviewed	GPRC5A GPCR5A RAI3 RAIG1	Homo sapiens (Human)
Q15109	reviewed	AGER RAGE	Homo sapiens (Human)
Q8N7C7	reviewed	RNF148	Homo sapiens (Human)
Q9NXI6	reviewed	RNF186	Homo sapiens (Human)
O14975	reviewed	SLC27A2 ACSVL1 FACVL1 FATP2 VLACS	Homo sapiens (Human)
Q6ZQQ2	reviewed	SPATA31D1 FAM75D1	Homo sapiens (Human)
Q7RTT9	reviewed	SLC29A4 ENT4 PMAT PSEC0113	Homo sapiens (Human)
A6NNN8	reviewed	SLC38A8	Homo sapiens (Human)
Q9Y2D2	reviewed	SLC35A3	Homo sapiens (Human)
A1A4F0	reviewed	SLC66A1L C3orf55 PQLC2L	Homo sapiens (Human)
Q7Z769	reviewed	SLC35E3 BLOV1 UNQ3043/PRO9859	Homo sapiens (Human)
Q2M3R5	reviewed	SLC35G1 C10orf60 POST TMEM20	Homo sapiens (Human)
Q9BXS9	reviewed	SLC26A6	Homo sapiens (Human)
P47872	reviewed	SCTR	Homo sapiens (Human)
A6NKW6	reviewed	SHISAL2B FAM159B	Homo sapiens (Human)
